
"Lenningen",1070,1038,869,786,814,912,1015,1169,1644,1805,1800,1886,1924,1941,2017
"Mondorf-les-Bains",1217,1455,1739,1757,2062,2510,2883,3638,4393,4651,4800,4999,5082,5273,5359
"Remich",1742,1974,1716,1801,2138,2376,2536,2883,3332,3476,3482,3632,3645,3707,3732
"Schengen",3377,3228,2909,2613,2659,2602,2662,3581,4093,4459,4615,4805,4812,4833,4924
"Stadtbredimus",961,1004,724,667,652,754,882,1249,1556,1674,1794,1866,1904,1894,1947
"Waldbredimus",563,643,533,498,482,664,713,847,901,942,929,1098,1116,1181,1240




