Comarca,Municipi,Estacio_codi,Latitud,Longitud,Altitud,Data_alta,Data_baixa,Estat_actual
Osona,Perafita,Perafita [V5],42.03947,2.11993,774,03.07.1995,,Operativa
Osona,Vic,Vic - 1 [CX],41.93582,2.23857,498,18.01.1996,01.01.2003,Desmantellada
Osona,Vic,Vic [XO],41.93497,2.23987,499,22.12.2011,,Operativa
Osona,Viladrau,Viladrau - centre [CS],41.84502,2.3881,777,05.12.1995,08.06.2004,Desmantellada
Osona,Viladrau,Viladrau - Aigües de Viladrau [V6],41.84256,2.42636,871,03.10.1995,29.03.2005,Desmantellada
Osona,Viladrau,Viladrau [WS],41.84008,2.41877,953,17.03.2005,,Operativa
Osona,Vilanova de Sau,Pantà de Sau [KE],41.96867,2.41404,426,05.01.1996,,Operativa
Osona,Vilanova de Sau,Embassament de Sau [V7],41.97554,2.39837,435,20.05.1997,02.05.2006,Desmantellada
Pallars Jussà,Isona i Conca Dellà,Sant Romà d'Abella [CP],42.13924,1.03893,690,20.05.1996,,Operativa
Pallars Jussà,La Pobla de Segur,la Pobla de Segur - Bombers [CV],42.23939,0.96434,513,22.12.1995,18.11.2016,Desmantellada
Pallars Jussà,La Pobla de Segur,la Pobla de Segur [YC],42.24388,0.96802,508,18.11.2016,,Operativa
Pallars Jussà,Sant Esteve de la Sarga,Montsec d'Ares (1.572 m) [WQ],42.0513,0.72952,1572,17.06.2003,,Operativa
Pallars Jussà,Tremp,Tremp [XQ],42.16252,0.88814,473,22.10.2012,,Operativa
Pallars Sobirà,Alins,Salòria (2.451 m) [ZB],42.51939,1.36597,2451,30.09.2004,,Operativa
Pallars Sobirà,Alt Àneu,Bonaigua (2.266 m) [Z1],42.64691,0.98486,2266,06.11.1997,,Operativa
Pallars Sobirà,Espot,Espot (2.519 m) [Z7],42.53412,1.05476,2519,01.03.2002,,Operativa
Pallars Sobirà,Lladorre,Certascan (2.400 m) [Z5],42.70029,1.27201,2400,11.11.2000,,Operativa
Pallars Sobirà,Sort,Sort [XH],42.40533,1.12993,679,31.07.2009,,Operativa
Pallars Sobirà,Tírvia,Tírvia [YG],42.51881,1.24244,954,11.01.2018,,Operativa
Pla d'Urgell,Bellvís,Bellvís [WH],41.67342,0.8129,196,17.09.1997,17.11.2004,Desmantellada
Pla d'Urgell,Castellnou de Seana,Castellnou de Seana [C6],41.6566,0.95172,264,16.12.1995,,Operativa
Pla d'Urgell,El Poal,el Poal [V8],41.67279,0.87741,223,14.09.1989,,Operativa
Pla d'Urgell,Golmés,Golmés [WC],41.63642,0.92446,261,08.08.2000,,Operativa
Pla d'Urgell,Miralcamp,Miralcamp [V9],41.61333,0.87608,256,26.09.1997,01.02.2010,Desmantellada
Pla d'Urgell,Mollerussa,Mollerussa [XI],41.61817,0.87182,247,20.01.2010,,Operativa
Pla de l'Estany,Banyoles,Banyoles [DJ],42.11653,2.78969,176,11.10.1999,,Operativa
Priorat,Cornudella de Montsant,Pantà de Siurana [MR],41.25079,0.9106,500,08.11.2010,,Operativa
Priorat,El Masroig,el Masroig [WJ],41.1223,0.72182,141,20.06.2000,,Operativa
Priorat,Falset,Falset - Escola [CH],41.15076,0.82357,350,01.12.1995,05.07.2005,Desmantellada
Priorat,Falset,Falset [X1],41.15374,0.81953,359,20.12.2006,,Operativa
Priorat,Margalef,Margalef [D1],41.28521,0.75383,404,14.01.1996,,Operativa
Priorat,Torroja del Priorat,Torroja del Priorat [WR],41.2163,0.79748,300,27.11.2003,,Operativa
Priorat,Ulldemolins,Ulldemolins - Zona Esportiva [CZ],41.3191,0.87868,631,04.03.1996,15.04.2008,Desmantellada
Priorat,Ulldemolins,Ulldemolins [XD],41.32,0.8857,687,17.04.2008,,Operativa
Ribera d'Ebre,Ascó,Ascó [VA],41.19645,0.51161,257,15.06.1998,,Operativa
Ribera d'Ebre,Benissanet,Benissanet [VB],41.06289,0.63517,32,14.07.1993,,Operativa
Ribera d'Ebre,Riba-roja d'Ebre,Pantà de Riba-roja [VC],41.24415,0.43266,69,18.11.1996,,Operativa
Ribera d'Ebre,Tivissa,Tivissa [Y6],41.04343,0.74032,317,26.03.2015,,Operativa
Ribera d'Ebre,Vinebre,Vinebre [D7],41.18499,0.59376,53,22.01.1998,,Operativa
Ripollès,Les Llosses,les Llosses [CB],42.15085,2.19914,700,30.11.1995,02.06.2003,Desmantellada
Ripollès,Molló,Molló - Fabert [CG],42.37717,2.41456,1405,06.06.1996,,Operativa
Ripollès,Queralbs,Núria (1.971 m) [DG],42.39848,2.15517,1971,15.05.1998,,Operativa
Ripollès,Sant Joan de les Abadesses,Sant Joan de les Abadesses [M6],42.22189,2.2427,730,13.01.1996,,Operativa
Ripollès,Sant Pau de Segúries,Sant Pau de Segúries [CI],42.25839,2.36429,852,24.11.1995,,Operativa
Ripollès,Setcases,Ulldeter (2.410 m) [ZC],42.42117,2.24565,2410,28.09.2011,,Operativa
Ripollès,Setcases,Ulldeter (2.364 m) [Z4],42.42205,2.2524,2364,08.11.2000,20.09.2011,Desmantellada
Segarra,Cervera,Cervera [C8],41.67555,1.29609,554,27.10.1995,,Operativa
Segarra,Els Plans de Sió,el Canós [VD],41.68939,1.20381,429,22.10.1988,,Operativa
Segarra,Massoteres,Massoteres [YE],41.79409,1.30576,513,17.05.2017,,Operativa
Segrià,Aitona,Aitona [VE],41.48692,0.46058,97,12.03.1998,,Operativa
Segrià,Alcarràs,Alcarràs - Torrent d'Alcarràs [VF],41.56482,0.54999,122,17.09.1997,31.07.2013,Desmantellada
Segrià,Alcarràs,Alcarràs [XY],41.56509,0.55027,122,31.07.2013,,Operativa
Segrià,Alfarràs,Alfarràs [WK],41.81949,0.57768,268,17.09.1997,,Operativa
Segrià,Alguaire,Alguaire [X3],41.74281,0.5358,370,02.06.2006,,Operativa
Segrià,Els Alamús,els Alamús [XM],41.59522,0.73507,235,22.06.2011,,Operativa
Segrià,Gimenells i el Pla de la Font,Gimenells [VH],41.65814,0.39301,259,10.12.1996,,Operativa
Segrià,Lleida,Lleida [VI],41.62918,0.59622,190,30.03.1990,15.06.2000,Desmantellada
Segrià,Lleida,Lleida - Pla de Lleida [VJ],41.59957,0.6478,161,16.09.1997,24.07.2013,Desmantellada
Segrià,Lleida,Raimat [VK],41.68328,0.4487,286,31.08.1988,,Operativa
Segrià,Lleida,Lleida - la Bordeta [XW],41.59822,0.64855,165,24.07.2013,17.10.2018,Desmantellada
Segrià,Lleida,Lleida - la Femosa [YJ],41.58462,0.64172,170,21.08.2018,,Operativa
Segrià,Maials,Maials [WI],41.35741,0.4809,350,20.12.2000,,Operativa
Segrià,Seròs,Seròs - la Creu [VL],41.46014,0.40562,100,05.01.1998,15.12.2011,Desmantellada
Segrià,Seròs,Seròs [XN],41.46379,0.42765,89,15.12.2011,,Operativa
Segrià,Torres de Segre,Torres de Segre - Depuradora [CO],41.52603,0.52711,144,23.11.1995,25.05.2006,Desmantellada
Segrià,Torres de Segre,Torres de Segre [X7],41.51909,0.55314,215,02.07.2007,,Operativa
Segrià,Vilanova de Segrià,Vilanova de Segrià [VM],41.7145,0.62839,222,17.09.1997,,Operativa
Selva,Anglès,Anglès [DN],41.96095,2.63108,150,10.05.2001,,Operativa
Selva,Fogars de la Selva,Fogars de la Selva [KP],41.73894,2.69436,36,05.01.1996,,Operativa
Selva,Lloret de Mar,Lloret de Mar [CF],41.72346,2.84282,63,05.02.1996,16.06.2003,Desmantellada
Selva,Santa Coloma de Farners,Santa Coloma de Farners [CK],41.86472,2.66451,163,05.02.1996,08.06.2004,Desmantellada
Selva,Santa Coloma de Farners,Santa Coloma de Farners [XS],41.86489,2.66446,162,26.03.2013,,Operativa
Selva,Vilobí d'Onyar,Vilobí d'Onyar [VN],41.88244,2.74262,117,10.11.1998,,Operativa
Solsonès,Clariana de Cardener,Clariana de Cardener [CA],41.95378,1.5851,693,02.05.1996,10.07.2012,Desmantellada
Solsonès,Guixers,Guixers - Valls [MV],42.13598,1.67295,845,17.06.2015,,Operativa
Solsonès,La Coma i la Pedra,el Port del Comte (2.316 m) [Z8],42.18254,1.52407,2316,03.10.2002,,Operativa
Solsonès,Lladurs,Lladurs [VO],42.08745,1.42792,785,05.05.1998,,Operativa
Solsonès,Navès,Navès [MW],42.00707,1.65239,545,22.03.2010,,Operativa
Solsonès,Pinós,Pinós [VP],41.80483,1.53853,659,03.07.1995,,Operativa
Solsonès,Solsona,Solsona [XT],41.98766,1.51165,691,12.07.2012,,Operativa
Tarragonès,Constantí,Constantí [VQ],41.1713,1.16774,112,29.05.1990,,Operativa
Tarragonès,Tarragona,Tarragona - Complex Educatiu [XE],41.10393,1.201,5,05.02.2009,,Operativa
Tarragonès,Torredembarra,Torredembarra [DK],41.14677,1.41846,2,24.11.1999,,Operativa
Terra Alta,Batea,Batea [WD],41.08671,0.31884,382,23.12.1999,,Operativa
Terra Alta,Gandesa,Gandesa [XP],41.06581,0.43006,349,30.11.2011,,Operativa
Terra Alta,Horta de Sant Joan,Horta de Sant Joan [D8],40.95134,0.30565,515,28.01.1998,,Operativa
Urgell,Sant Martí de Riucorb,Sant Martí de Riucorb [WL],41.57236,1.0882,413,05.02.2002,,Operativa
Urgell,Tàrrega,Tàrrega [C7],41.66695,1.16234,427,06.11.1995,,Operativa
Urgell,Tornabous,Tornabous - Montargull [VR],41.68994,1.04401,291,17.09.1997,06.08.2013,Desmantellada
Urgell,Tornabous,Tornabous [XX],41.68835,1.04476,291,06.08.2013,,Operativa
Val d'Aran,Arres,Sasseuva (2.228 m) [Z6],42.77011,0.73198,2228,20.09.2001,,Operativa
Val d'Aran,Vielha e Mijaran,Vielha [CU],42.69856,0.79397,1002,15.02.1996,,Operativa
Val d'Aran,Vielha e Mijaran,Lac Redon (2.247 m) [VS],42.63835,0.77889,2247,15.07.1999,,Operativa
Vallès Occidental,Castellbisbal,Castellbisbal [XC],41.47892,1.97546,147,18.03.2008,,Operativa
Vallès Occidental,Cerdanyola del Vallès,Cerdanyola del Vallès [VT],41.48401,2.12745,84,15.05.1998,03.01.2014,Desmantellada
